Fraction,Model,PR-AUC,ROC-AUC,Brier Score,ECE
0.01,lr_struct,0.23813688990384607,0.8632267146557324,0.057778066440789325,0.028027121342112504
0.01,rf_struct,0.38524287228938553,0.9210536170794139,0.051289292518679315,0.027279221396765516
0.01,xgb_struct,0.29164089574805346,0.9035318735617948,0.060725358246104325,0.03977282727308646
0.01,lr_tfidf,0.08664038875186099,0.49315059842375963,0.06233751661982823,0.038487753191589716
0.01,lr_minilm,0.07748125711403392,0.5441256377537163,0.06227982768823663,0.038354527487043
0.01,fusion_tfidf,0.29918029016644443,0.9096147076654303,0.06077704241683916,0.038111275456713625
0.01,fusion_minilm,0.28456036743008334,0.9031304764520033,0.06207544935604315,0.040354172032296486
0.05,lr_struct,0.297359389662184,0.9020661332677109,0.055730572345273156,0.020206519535771957
0.05,rf_struct,0.3905295582527838,0.9237626613669008,0.05558354667746698,0.034079676084787534
0.05,xgb_struct,0.32038457403173287,0.9175654091401951,0.05809631238947682,0.03444631758315227
0.05,lr_tfidf,0.07975973067238332,0.5075902334591457,0.06231758074034927,0.03851273098259199
0.05,lr_minilm,0.08383094717721253,0.5379955764663445,0.06224947128549957,0.03841813057450655
0.05,fusion_tfidf,0.3236843935995537,0.9183200594729786,0.057438336696150685,0.033524008939055626
0.05,fusion_minilm,0.334400444156868,0.9172644249677863,0.05899658585478989,0.03585389165820238
0.1,lr_struct,0.29759243006376324,0.9066664208544379,0.05891129380508881,0.03092300121397459
0.1,rf_struct,0.3969401045883668,0.923324613110565,0.0553339293655903,0.03521646122155421
0.1,xgb_struct,0.3402513565910902,0.918914422577568,0.06362820616456755,0.042565341951262325
0.1,lr_tfidf,0.08342026742636235,0.5165154242420291,0.06227134902872438,0.03849632594170321
0.1,lr_minilm,0.08856038404682219,0.5538540641317314,0.062083376444633666,0.03832196291017251
0.1,fusion_tfidf,0.34535001923719594,0.9222706422516724,0.061651654870648186,0.03962848605842445
0.1,fusion_minilm,0.32450887237221476,0.9162503816200901,0.06328386652624544,0.04171527124209592
0.25,lr_struct,0.30608216696698665,0.909376466724901,0.0642360421124668,0.0439771951811694
0.25,rf_struct,0.40207851852190074,0.9267213374792758,0.0564012058050677,0.035361484052598244
0.25,xgb_struct,0.32281477420047183,0.9171281587550439,0.06598938954644923,0.04575920984002287
0.25,lr_tfidf,0.0872259877223998,0.5390774218887506,0.062205851979810114,0.038397792023258756
0.25,lr_minilm,0.08902911630694817,0.5537340439343863,0.06207195813494117,0.03826843619707226
0.25,fusion_tfidf,0.31203444383586293,0.9172180805351484,0.07133866956066831,0.05059956663999812
0.25,fusion_minilm,0.319239383617145,0.916537954766204,0.06941173600001442,0.04904274226565463
0.5,lr_struct,0.30364842127328256,0.9097234218583297,0.06478496350179883,0.04600590099319599
0.5,rf_struct,0.3995384538092708,0.926833752436393,0.0573565509496512,0.037789551760254766
0.5,xgb_struct,0.3401965943713135,0.9191030257448247,0.06227959605283915,0.04403179560468269
0.5,lr_tfidf,0.08643501571664207,0.5444734416862773,0.062189300981454455,0.03839962950172044
0.5,lr_minilm,0.08828785327261904,0.5532106404372795,0.062083471732572795,0.03823716337423749
0.5,fusion_tfidf,0.3344699122648087,0.9189470164642587,0.06430961098970876,0.046396798041366163
0.5,fusion_minilm,0.31917986379574725,0.9163828112607533,0.06495460154220167,0.04708275060194253
1.0,lr_struct,0.302715343526944,0.9109921049457964,0.06674435147354674,0.05117794225671909
1.0,rf_struct,0.3980773054818824,0.9275491203453213,0.059392158368613626,0.04255752446860805
1.0,xgb_struct,0.3292155674059234,0.9174956548274806,0.06125969175958294,0.042376778582264914
1.0,lr_tfidf,0.0893619697324242,0.5422228338102905,0.06213888084931234,0.03837737127986113
1.0,lr_minilm,0.08891601348180188,0.5539119182806073,0.062075476981419644,0.03825709152136435
1.0,fusion_tfidf,0.32440651313348423,0.9181527781399321,0.06288546927547176,0.046245654379703155
1.0,fusion_minilm,0.33143991606226325,0.917954311926755,0.06196171796895364,0.047020530160266416
