Model,alpha,t_low,t_high,val_workload_reduction,val_missed_fault_rate,test_workload_reduction,test_missed_fault_rate,test_auto_clear_rate,test_human_review_rate,test_urgent_inspection_rate
lr_struct,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5569545454545455,0.4430454545454545
lr_struct,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5569545454545455,0.4430454545454545
lr_struct,0.05,0.01,0.02,0.7345,0.04794520547945205,0.5569545454545455,0.0006983240223463687,0.5569545454545455,0.04745454545454546,0.3955909090909091
lr_struct,0.1,0.04,0.05,0.863909090909091,0.08904109589041095,0.6542727272727272,0.004888268156424581,0.6542727272727272,0.018772727272727274,0.32695454545454544
rf_struct,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.7191818181818181,0.2808181818181818
rf_struct,0.03,0.01,0.02,0.8812272727272727,0.025684931506849314,0.7191818181818181,0.0034916201117318434,0.7191818181818181,0.04768181818181818,0.23313636363636364
rf_struct,0.05,0.01,0.02,0.8812272727272727,0.025684931506849314,0.7191818181818181,0.0034916201117318434,0.7191818181818181,0.04768181818181818,0.23313636363636364
rf_struct,0.1,0.02,0.03,0.9198636363636363,0.08732876712328767,0.7668636363636364,0.024441340782122904,0.7668636363636364,0.012863636363636364,0.22027272727272726
xgb_struct,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xgb_struct,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xgb_struct,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xgb_struct,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_tfidf,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_tfidf,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_tfidf,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_tfidf,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_minilm,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_minilm,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_minilm,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr_minilm,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_tfidf,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_tfidf,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_tfidf,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_tfidf,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_minilm,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_minilm,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_minilm,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fusion_minilm,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
