split,row_count,date_min,date_max,site_ids,positive_rate,technician_report_coverage
chronological_train_plants_1_5,102000,2025-01-01,2025-09-12,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5,0.02864705882352941,0.23486274509803923
chronological_val_plants_1_5,22000,2025-09-13,2025-11-06,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5,0.026545454545454546,0.25345454545454543
chronological_test_plants_1_5,22000,2025-11-07,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5,0.06509090909090909,0.2743181818181818
random_train,122639,2025-01-01,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5;Plant_6,0.03501333181125091,0.24660181508329324
random_val,26280,2025-01-01,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5;Plant_6,0.0350076103500761,0.2487062404870624
random_test,26281,2025-01-01,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5;Plant_6,0.035006278299912486,0.24534835051938664
site_held_out_Plant_1_train,116800,2025-01-01,2025-10-19,Plant_2;Plant_3;Plant_4;Plant_5;Plant_6,0.02843321917808219,0.2405821917808219
site_held_out_Plant_1_val,29200,2025-10-20,2025-12-31,Plant_2;Plant_3;Plant_4;Plant_5;Plant_6,0.06157534246575343,0.2788013698630137
site_held_out_Plant_1_test,29200,2025-01-01,2025-12-31,Plant_1,0.03476027397260274,0.23924657534246577
site_held_out_Plant_2_train,116800,2025-01-01,2025-10-19,Plant_1;Plant_3;Plant_4;Plant_5;Plant_6,0.02836472602739726,0.23873287671232876
site_held_out_Plant_2_val,29200,2025-10-20,2025-12-31,Plant_1;Plant_3;Plant_4;Plant_5;Plant_6,0.06462328767123288,0.27578767123287673
site_held_out_Plant_2_test,29200,2025-01-01,2025-12-31,Plant_2,0.03198630136986302,0.24965753424657533
site_held_out_Plant_3_train,116800,2025-01-01,2025-10-19,Plant_1;Plant_2;Plant_4;Plant_5;Plant_6,0.028904109589041094,0.24122431506849315
site_held_out_Plant_3_val,29200,2025-10-20,2025-12-31,Plant_1;Plant_2;Plant_4;Plant_5;Plant_6,0.06116438356164384,0.2797602739726027
site_held_out_Plant_3_test,29200,2025-01-01,2025-12-31,Plant_3,0.033287671232876716,0.23571917808219178
site_held_out_Plant_4_train,116800,2025-01-01,2025-10-19,Plant_1;Plant_2;Plant_3;Plant_5;Plant_6,0.028159246575342467,0.23736301369863014
site_held_out_Plant_4_val,29200,2025-10-20,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_5;Plant_6,0.06267123287671234,0.2723972602739726
site_held_out_Plant_4_test,29200,2025-01-01,2025-12-31,Plant_4,0.03476027397260274,0.25852739726027396
site_held_out_Plant_5_train,116800,2025-01-01,2025-10-19,Plant_1;Plant_2;Plant_3;Plant_4;Plant_6,0.028904109589041094,0.2411558219178082
site_held_out_Plant_5_val,29200,2025-10-20,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_6,0.06013698630136986,0.28085616438356165
site_held_out_Plant_5_test,29200,2025-01-01,2025-12-31,Plant_5,0.034315068493150684,0.2348972602739726
site_held_out_Plant_6_train,116800,2025-01-01,2025-10-19,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5,0.026840753424657533,0.23625856164383563
site_held_out_Plant_6_val,29200,2025-10-20,2025-12-31,Plant_1;Plant_2;Plant_3;Plant_4;Plant_5,0.061746575342465755,0.27301369863013697
site_held_out_Plant_6_test,29200,2025-01-01,2025-12-31,Plant_6,0.040958904109589044,0.2623287671232877
