Model,Perturbation_Type,Level,PR-AUC,Macro-F1,Recall,FNR
lr_struct,Sensor Noise,1.0x,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Sensor Noise,1.0x,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Sensor Noise,1.0x,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Sensor Noise,1.0x,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Sensor Noise,1.0x,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Sensor Noise,1.0x,0.32440651313348423,0.6441067222239808,0.3477653631284916,0.6522346368715084
fusion_minilm,Sensor Noise,1.0x,0.33143991606226325,0.6435488638790277,0.3414804469273743,0.6585195530726258
lr_struct,Sensor Noise,1.5x,0.2009240891844341,0.5988116317788739,0.4776536312849162,0.5223463687150838
rf_struct,Sensor Noise,1.5x,0.25030277129048795,0.6035756538733597,0.4727653631284916,0.5272346368715084
xgb_struct,Sensor Noise,1.5x,0.1862962284112069,0.5907240243425315,0.3400837988826816,0.6599162011173184
lr_tfidf,Sensor Noise,1.5x,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Sensor Noise,1.5x,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Sensor Noise,1.5x,0.19408074286047916,0.5952282251703597,0.34916201117318435,0.6508379888268156
fusion_minilm,Sensor Noise,1.5x,0.19162542729295018,0.5925057685375935,0.3365921787709497,0.6634078212290503
lr_struct,Sensor Noise,2.0x,0.14595776872888294,0.5508885406781222,0.4958100558659218,0.5041899441340782
rf_struct,Sensor Noise,2.0x,0.18866629739308635,0.552062458611608,0.5195530726256983,0.4804469273743017
xgb_struct,Sensor Noise,2.0x,0.1414666896593955,0.5535016659006117,0.37639664804469275,0.6236033519553073
lr_tfidf,Sensor Noise,2.0x,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Sensor Noise,2.0x,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Sensor Noise,2.0x,0.14381801669487237,0.5516114397367295,0.36522346368715086,0.6347765363128491
fusion_minilm,Sensor Noise,2.0x,0.14121556725996,0.5502508847636868,0.35614525139664804,0.6438547486033519
lr_struct,Sensor Noise,3.0x,0.10770371444925544,0.4943253620348957,0.49231843575418993,0.5076815642458101
rf_struct,Sensor Noise,3.0x,0.1357632919616248,0.49329139373338227,0.5656424581005587,0.4343575418994413
xgb_struct,Sensor Noise,3.0x,0.115283535484929,0.5117247037379626,0.41480446927374304,0.585195530726257
lr_tfidf,Sensor Noise,3.0x,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Sensor Noise,3.0x,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Sensor Noise,3.0x,0.11483417394612165,0.5140024905960418,0.40432960893854747,0.5956703910614525
fusion_minilm,Sensor Noise,3.0x,0.11447669620792514,0.5136121882244701,0.4022346368715084,0.5977653631284916
lr_struct,Missing Sensors,0%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Missing Sensors,0%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Missing Sensors,0%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Missing Sensors,0%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Missing Sensors,0%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Sensors,0%,0.32440651313348423,0.6441067222239808,0.3477653631284916,0.6522346368715084
fusion_minilm,Missing Sensors,0%,0.33143991606226325,0.6435488638790277,0.3414804469273743,0.6585195530726258
lr_struct,Missing Sensors,10%,0.2744061738885334,0.6430887922190471,0.3819832402234637,0.6180167597765363
rf_struct,Missing Sensors,10%,0.3701850977786191,0.649921249417841,0.36243016759776536,0.6375698324022346
xgb_struct,Missing Sensors,10%,0.3018077581966258,0.6239460576100484,0.2723463687150838,0.7276536312849162
lr_tfidf,Missing Sensors,10%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Missing Sensors,10%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Sensors,10%,0.2973420776332192,0.6337515505101823,0.30307262569832405,0.696927374301676
fusion_minilm,Missing Sensors,10%,0.30757467511562975,0.6300729594163247,0.2905027932960894,0.7094972067039106
lr_struct,Missing Sensors,25%,0.2357419426504405,0.6250931329999416,0.30935754189944137,0.6906424581005586
rf_struct,Missing Sensors,25%,0.3247114447745966,0.6380995777927776,0.2995810055865922,0.7004189944134078
